id,name,startedAt,endedAt,postureStanding ,postureSittingPublic ,postureSittingPrivate ,postureSitting ,postureLying ,genderMale ,genderFemale ,age0To14 ,age15To24 ,age25To64 ,age65Plus ,activityConsuming ,activityPlaying ,activitySleep ,activityCulturallyEngaged ,activityWaitingTransport ,activityCommercial ,activityPet ,activitySubstanceUse ,activityHomelessCamping ,activityPanhandling ,location
SFCC8439,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,,,"-122.418, 37.7796"
SFCC8440,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8441,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,,,"-122.418, 37.7796"
SFCC8442,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,,,"-122.418, 37.7796"
SFCC8443,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,,,"-122.418, 37.7796"
SFCC8444,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8445,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,1,,,,"-122.418, 37.7796"
SFCC8446,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,1,,,,"-122.418, 37.7796"
SFCC8447,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,1,,,,"-122.418, 37.7796"
SFCC8448,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8449,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,,,,1,,,,,,,,,"-122.418, 37.7796"
SFCC8450,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,,,,1,,,,,,,,,"-122.418, 37.7796"
SFCC8451,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,1,,,,,,,,,"-122.418, 37.7796"
SFCC8452,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,1,,,,,,,,,"-122.418, 37.7796"
SFCC8453,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,1,,,,,,,,,"-122.418, 37.7796"
SFCC8454,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8455,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8456,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8457,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8458,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8459,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8460,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8461,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8462,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8463,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8464,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8465,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,1,,,,,"-122.416, 37.7796"
SFCC8466,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,1,,,,,"-122.416, 37.7796"
