id,name,unitAddress,surveyor ,climate ,temperature,startedAt ,endedAt ,modePedestrian,genderMale ,genderFemale ,age0To14 ,age25To64 ,age15To24 ,age65Plus ,activityRunning ,activityPlaying,activityRollerbladingSkateboarding ,activityConversing ,objectStroller,objectPushcart,notes
1369,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,66,06/17/14 03:10 PM,06/17/14 03:20 PM,148,75,73,0,16,0,8,1,0,2,0,0,0,
1370,JEFFERSON251,"251 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/17/14 03:45 PM,06/17/14 03:55 PM,257,121,136,0,31,0,28,1,0,1,0,0,0,
1371,JEFFERSON250,"250 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/17/14 03:55 PM,06/17/14 04:05 PM,261,142,119,0,27,0,32,4,0,0,0,0,0,
1372,JEFFERSON251,"251 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/17/14 04:27 PM,06/17/14 04:37 PM,283,123,160,0,30,0,36,1,0,2,1,0,0,
1373,JEFFERSON250,"250 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/17/14 04:38 PM,06/17/14 04:48 PM,289,154,135,0,34,0,33,3,0,0,0,0,0,
1374,HAIGHT1550,"1550 Haight St San Francisco, CA 94117",Esmeralda Jardines,sunny,75,06/14/14 12:05 PM,06/14/14 12:15 PM,147,83,64,0,11,0,4,0,0,0,0,0,0,
1375,HAIGHT1551,"1551 Haight St San Francisco, CA 94117",Esmeralda Jardines,sunny,75,06/14/14 12:50 PM,06/14/14 01:00 PM,127,73,54,0,1,0,2,0,0,0,0,0,0,
1376,HAIGHT1550,"1550 Haight St San Francisco, CA 94117",Esmeralda Jardines,sunny,75,06/14/14 01:02 PM,06/14/14 01:12 PM,145,76,69,0,7,0,4,0,0,1,0,0,0,
1377,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,70,06/18/14 01:20 PM,06/18/14 01:30 PM,136,62,74,0,9,0,27,0,0,1,0,0,0,
1378,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,70,06/18/14 01:32 PM,06/18/14 01:42 PM,183,83,100,0,23,0,30,1,0,1,0,0,0,
1379,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,70,06/18/14 12:26 PM,06/18/14 12:36 PM,188,104,84,0,11,0,29,9,0,0,0,0,0,
1380,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,70,06/18/14 12:15 PM,06/18/14 12:25 PM,161,95,66,0,55,0,26,2,0,0,0,0,0,
1381,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,70,06/18/14 11:20 AM,06/18/14 11:30 AM,127,62,65,0,12,0,23,3,0,0,0,0,0,
1382,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,70,06/18/14 11:31 AM,06/18/14 11:41 AM,170,86,84,0,28,0,24,3,0,0,0,0,0,
