id,name,notes,location,startedAt,endedAt,modePedestrian
SFMove57,Grove at Civic Center Plaza (south side),"Metal barriers blocking sidewalk, makeshift sidewalk on street","-122.417414188385, 37.7785251459678",09/22/17 09:00 PM,09/22/17 09:10 PM,1
SFMove58,Grove at Civic Center Plaza (north side),,"-122.417451068758, 37.7786761941644",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove59,Grove at Civic Center Plaza (north side),,"-122.417451068758, 37.7786761941644",09/22/17 10:00 PM,09/22/17 10:10 PM,1
SFMove60,Grove at Civic Center Plaza (north side),,"-122.417451068758, 37.7786761941644",09/22/17 09:00 PM,09/22/17 09:10 PM,1
SFMove61,Grove at Civic Center Plaza (north side),,"-122.417451068758, 37.7786761941644",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove62,Memorial Court,"1-2 1 Stroller; 8:00 am - ""Van Ness data count not plaza, should not use. Sorry!""; no data entered for 8 am 4PM: 0W, 0S 5PM 0W, 1S ""foot traffic from opera show."" 6PM 0W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",06/07/17 01:00 PM,06/07/17 01:10 PM,1
SFMove63,Memorial Court,"1-2 1 Stroller; 8:00 am - ""Van Ness data count not plaza, should not use. Sorry!""; no data entered for 8 am 4PM: 0W, 0S 5PM 0W, 1S ""foot traffic from opera show."" 6PM 0W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",06/07/17 12:00 PM,06/07/17 12:10 PM,1
SFMove64,Memorial Court,"1-2 1 Stroller; 8:00 am - ""Van Ness data count not plaza, should not use. Sorry!""; no data entered for 8 am 4PM: 0W, 0S 5PM 0W, 1S ""foot traffic from opera show."" 6PM 0W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",06/07/17 06:00 PM,06/07/17 06:10 PM,1
SFMove65,Grove at Van Ness,"9AM: 1S, 1 bike on sidewalk; 10AM: 1S, one bike on sidewalk; 12PM: 3S, 2PM: 1S, 1 bike on sidewalk; 3PM: graduation ceremony at this time 4PM: 1S","-122.420403510332, 37.7781477889698",05/27/17 11:00 AM,05/27/17 11:10 AM,1
SFMove66,Grove at Van Ness,"9AM: 1S, 1 bike on sidewalk; 10AM: 1S, one bike on sidewalk; 12PM: 3S, 2PM: 1S, 1 bike on sidewalk; 3PM: graduation ceremony at this time 4PM: 1S","-122.420403510332, 37.7781477889698",05/27/17 12:00 PM,05/27/17 12:10 PM,1
SFMove67,Mcallister at Civic Center Plaza (south side),"3Bii. 10 am: 1WC; 1-2: 1S; 3-4: 1W; 4-8PM: 0W, 0S","-122.417773604393, 37.7803313442379",06/07/17 12:00 PM,06/07/17 12:10 PM,1
SFMove68,CC Plaza crossing at City Hall,"12-1: 1W; 2-3:1S 4PM: 0W, 1S; 5PM: 0W, 0S; 6PM: 0W, 0S; 7PM: 1W, 0S","-122.418387830257, 37.7793885014858",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove69,Mcallister at Civic Center Plaza (south side),"3Bii. 10 am: 1WC; 1-2: 1S; 3-4: 1W; 4-8PM: 0W, 0S","-122.417773604393, 37.7803313442379",06/07/17 09:00 AM,06/07/17 09:10 AM,1
SFMove70,Larkin at Grove,"1-2: 1S 4PM: 0W, 1S; 5PM: 0W, 0S; 6PM: 1W, 0S; 7PM: 1W, 0S","-122.416521012783, 37.7784244470171",06/07/17 09:00 AM,06/07/17 09:10 AM,1
SFMove71,Civic Center crossing at Fulton Street,"8am-9am: 0W, 0S; 10am: 0W, 4S; 11am: 0W, 1S (general observation: most ped traffic on north side, large groups come in cycles w/tour groups and/or signal phases; when tere wasn't tour group activity (hours 11-12pm), most ppl used southside crosswalk; 12pm: 0W, 3S; 1pm: 1W, 1S; 2pm: 0W, 1S; 3pm: 0W, 1S (tour bus at 3pm) ","-122.41684153676, 37.7795787666528",05/27/17 09:00 AM,05/27/17 09:10 AM,1
SFMove72,Hyde at Fulton,"8am: 1W; 0S; 9-10am: 0W, 0S; 11am: 2W, 0S; 12pm: 2W, 0S; 1pm: 1W, 0S; 2pm: 1W, 0S; 3pm: 1W, 0S ","-122.415010929107, 37.7791950556568",05/27/17 01:00 PM,05/27/17 01:10 PM,1
SFMove73,UN Plaza Street,"8am: W & S not recorded due to volune; 9am: 2W, 5S; 10am: 2W, 7S; 11am: 1W, 16S; 12-1:4w,5s; 1-2:4w,2s; 2-3:4w,9s; 3-4:1w,1s; 4PM: 2W, 0S; 5PM: 3W, 3S; 6PM: 3W, 0S; 7PM: 2W, 2S","-122.414434254169, 37.7798946380547",06/07/17 12:00 PM,06/07/17 12:10 PM,1
